query,id,label
Умные датчики для контроля здоровья,RU2757048C1_20211011,1
Умные датчики для контроля здоровья,RU115630U1_20120510,1
Умные датчики для контроля здоровья,RU2645930C2_20180228,1
Умные датчики для контроля здоровья,RU2785360C1_20221206,0
Умные датчики для контроля здоровья,RU2685850C2_20190423,1
Умные датчики для контроля здоровья,WO2021173024A1_20210902,0
Умные датчики для контроля здоровья,RU2823467C1_20240723,1
Умные датчики для контроля здоровья,RU2760564C1_20211129,0
Умные датчики для контроля здоровья,RU2834150C1_20250203,1
Умные датчики для контроля здоровья,RU186842U1_20190206,0
Умные датчики для контроля здоровья,RU2805810C1_20231024,1
Умные датчики для контроля здоровья,RU2790317C1_20230216,0
Умные датчики для контроля здоровья,RU223063U1_20240130,0
Умные датчики для контроля здоровья,RU223063U1_20240130,0
Умные датчики для контроля здоровья,RU198230U1_20200625,0
Умные датчики для контроля здоровья,SU1456068A1_19890207,0
Умные датчики для контроля здоровья,RU2760114C1_20211122,0
Умные датчики для контроля здоровья,RU2725294C1_20200630,0
Умные датчики для контроля здоровья,RU2757165C1_20211011,0
Умные датчики для контроля здоровья,RU2796646C1_20230529,0
Системы очистки воздуха с использованием наноматериалов,RU2800440C1_20230721,1
Системы очистки воздуха с использованием наноматериалов,RU2452686C1_20120610,0
Системы очистки воздуха с использованием наноматериалов,BY0000010010C1_20071230,0
Системы очистки воздуха с использованием наноматериалов,RU2316471C2_20080210,0
Системы очистки воздуха с использованием наноматериалов,RU2724168C1_20200622,0
Системы очистки воздуха с использованием наноматериалов,RU159688U1_20160220,0
Системы очистки воздуха с использованием наноматериалов,RU2593292C1_20160810,1
Системы очистки воздуха с использованием наноматериалов,BY0000014266C1_20110430,0
Системы очистки воздуха с использованием наноматериалов,RU2610406C1_20170209,0
Системы очистки воздуха с использованием наноматериалов,RU2648273C2_20180323,0
Системы очистки воздуха с использованием наноматериалов,RU78403U1_20081127,0
Системы очистки воздуха с использованием наноматериалов,RU2784665C1_20221129,0
Системы очистки воздуха с использованием наноматериалов,BY0000021146C1_20170630,0
Системы очистки воздуха с использованием наноматериалов,RU2555272C2_20150710,0
Системы очистки воздуха с использованием наноматериалов,RU2481889C2_20130520,0
Системы очистки воздуха с использованием наноматериалов,RU2299850C2_20070527,0
Системы очистки воздуха с использованием наноматериалов,RU2663049C1_20180801,0
Системы очистки воздуха с использованием наноматериалов,EA0000018643B1_20130930,0
Системы очистки воздуха с использованием наноматериалов,RU2509053C1_20140310,0
Системы очистки воздуха с использованием наноматериалов,RU2624444C1_20170704,0
Системы управления солнечными панелями,RU2813087C1_20240206,1
Системы управления солнечными панелями,RU2754718C2_20210906,1
Системы управления солнечными панелями,RU2821867C1_20240627,0
Системы управления солнечными панелями,RU140038U1_20140427,1
Системы управления солнечными панелями,EA0000037100B1_20210205,1
Системы управления солнечными панелями,RU162099U1_20160527,1
Системы управления солнечными панелями,RU2492124C1_20130910,1
Системы управления солнечными панелями,WO2018147760A1_20180816,0
Системы управления солнечными панелями,RU2242408C1_20041220,1
Системы управления солнечными панелями,RU2560653C2_20150820,1
Системы управления солнечными панелями,RU2655105C1_20180523,1
Системы управления солнечными панелями,RU2325312C2_20080527,1
Системы управления солнечными панелями,RU2322374C2_20080420,1
Системы управления солнечными панелями,KZ0000031396B_20160729,0
Системы управления солнечными панелями,RU2476970C1_20130227,0
Системы управления солнечными панелями,RU2322372C2_20080420,1
Системы управления солнечными панелями,RU2325311C2_20080527,1
Системы управления солнечными панелями,RU2651309C1_20180419,0
Системы управления солнечными панелями,RU2340518C2_20081210,1
Системы управления солнечными панелями,RU2322373C2_20080420,1
Умные устройства для мониторинга экологии,RU2656610C1_20180606,1
Умные устройства для мониторинга экологии,WO2017135849A1_20170810,1
Умные устройства для мониторинга экологии,RU2749252C1_20210607,0
Умные устройства для мониторинга экологии,RU2724075C1_20200619,0
Умные устройства для мониторинга экологии,RU2724716C1_20200625,0
Умные устройства для мониторинга экологии,RU2790331C1_20230216,0
Солнечные панели с улучшенной эффективностью,RU2350852C2_20090327,1
Солнечные панели с улучшенной эффективностью,WO2010050836A1_20100506,1
Солнечные панели с улучшенной эффективностью,RU2611693C1_20170228,1
Солнечные панели с улучшенной эффективностью,RU2720126C1_20200424,0
Солнечные панели с улучшенной эффективностью,SU589355A1_19780125,0
Солнечные панели с улучшенной эффективностью,RU2642823C2_20180129,0
Солнечные панели с улучшенной эффективностью,RU86716U1_20090910,1
Солнечные панели с улучшенной эффективностью,RU2676214C1_20181226,1
Солнечные панели с улучшенной эффективностью,RU2641627C1_20180118,1
Солнечные панели с улучшенной эффективностью,RU174142U1_20171004,1
Солнечные панели с улучшенной эффективностью,RU165800U1_20161110,1
Солнечные панели с улучшенной эффективностью,RU2587530C2_20160620,0
Солнечные панели с улучшенной эффективностью,RU142652U1_20140627,0
Солнечные панели с улучшенной эффективностью,RU2436192C1_20111210,0
Солнечные панели с улучшенной эффективностью,RU201526U1_20201221,0
Солнечные панели с улучшенной эффективностью,SU1257371A1_19860915,1
Солнечные панели с улучшенной эффективностью,RU2628247C2_20170815,0
Солнечные панели с улучшенной эффективностью,RU2074981C1_19970310,0
Солнечные панели с улучшенной эффективностью,RU2139201C1_19991010,0
Умные системы очистки сточных вод,SU791632A1_19801230,1
Умные системы очистки сточных вод,RU2001882C1_19931030,1
Умные системы очистки сточных вод,SU1101414A1_19840707,1
Умные системы очистки сточных вод,SU1101422A1_19840707,0
Умные системы очистки сточных вод,SU865850A1_19810923,0
Умные системы очистки сточных вод,RU2692770C1_20190627,0
Умные системы очистки сточных вод,RU2800757C1_20230727,0
Умные системы очистки сточных вод,SU1733388A1_19920515,0
Умные системы очистки сточных вод,SU1784261A1_19921230,0
Умные системы очистки сточных вод,RU2756500C1_20211001,0
Умные системы очистки сточных вод,RU2490738C2_20130820,0
Умные системы очистки сточных вод,EA0000029464B1_20180330,1
Умные системы очистки сточных вод,RU2281384C2_20060810,1
Умный датчик загрязнения воздуха,RU214501U1_20221101,0
Умный датчик загрязнения воздуха,RU231060U1_20250109,0
Умный датчик загрязнения воздуха,RU2699266C2_20190904,0
Умный датчик загрязнения воздуха,RU2831871C1_20241216,0
Умный датчик загрязнения воздуха,RU2648637C2_20180326,0
Умный датчик загрязнения воздуха,RU115630U1_20120510,0
Умный датчик загрязнения воздуха,SU1451539A1_19890115,0
Умный датчик загрязнения воздуха,RU2664961C1_20180823,0
Умный датчик загрязнения воздуха,RU218077U1_20230505,0
Умный датчик загрязнения воздуха,SU1101414A1_19840707,0
Умный датчик загрязнения воздуха,RU2618159C2_20170502,0
Умный датчик загрязнения воздуха,RU20256U1_20011027,0
Умный датчик загрязнения воздуха,RU2732957C2_20200925,0
Умный датчик загрязнения воздуха,RU232688U1_20250318,0
Умный датчик загрязнения воздуха,RU2630964C2_20170915,0
Умный датчик загрязнения воздуха,RU2679867C1_20190213,0
Умный датчик загрязнения воздуха,RU2758842C1_20211102,0
Умный датчик загрязнения воздуха,RU2790317C1_20230216,0
Умный датчик загрязнения воздуха,RU30102U1_20030620,0
Умный датчик загрязнения воздуха,RU2606718C2_20170110,0
Устройство для очистки воды с помощью ультразвука,RU2136579C1_19990910,0
Устройство для очистки воды с помощью ультразвука,RU2769302C1_20220330,0
Устройство для очистки воды с помощью ультразвука,RU2138319C1_19990927,0
Устройство для очистки воды с помощью ультразвука,RU2775016C1_20220627,0
Устройство для очистки воды с помощью ультразвука,RU181669U1_20180726,1
Устройство для очистки воды с помощью ультразвука,RU2316480C2_20080210,0
Устройство для очистки воды с помощью ультразвука,RU2138320C1_19990927,1
Устройство для очистки воды с помощью ультразвука,RU125187U1_20130227,1
Устройство для очистки воды с помощью ультразвука,RU67335U1_20071010,0
Устройство для очистки воды с помощью ультразвука,RU2370754C1_20091020,0
Устройство для очистки воды с помощью ультразвука,RU2621801C1_20170607,0
Устройство для очистки воды с помощью ультразвука,RU2669926C2_20181017,0
Устройство для очистки воды с помощью ультразвука,RU2571325C2_20151220,0
Устройство для очистки воды с помощью ультразвука,RU2691058C1_20190610,0
Устройство для очистки воды с помощью ультразвука,RU2570966C2_20151220,0
Устройство для очистки воды с помощью ультразвука,RU2581368C2_20160420,0
Устройство для очистки воды с помощью ультразвука,RU2012148968A_20140820,0
Устройство для очистки воды с помощью ультразвука,RU2097960C1_19971210,0
Устройство для очистки воды с помощью ультразвука,WO2008048139A1_20080424,0
Устройство для очистки воды с помощью ультразвука,RU94024958A_19961020,0
умный дом управление энергопотреблением,WO2021137720A1_20210708,1
умный дом управление энергопотреблением,RU2725023C1_20200629,1
умный дом управление энергопотреблением,RU2802324C2_20230824,0
умный дом управление энергопотреблением,RU2784136C1_20221123,0
умный дом управление энергопотреблением,RU2242832C2_20041220,1
умный дом управление энергопотреблением,RU2754869C2_20210908,1
умный дом управление энергопотреблением,RU2809641C2_20231214,0
умный дом управление энергопотреблением,RU2778270C2_20220817,1
умный дом управление энергопотреблением,RU2449346C1_20120427,0
умный дом управление энергопотреблением,RU2828436C2_20241011,0
биоразлагаемая упаковка для продуктов,RU2429710C2_20110927,0
биоразлагаемая упаковка для продуктов,RU2693776C1_20190704,1
биоразлагаемая упаковка для продуктов,RU2529173C2_20140927,0
биоразлагаемая упаковка для продуктов,RU2479607C2_20130420,0
биоразлагаемая упаковка для продуктов,RU2745320C2_20210323,1
биоразлагаемая упаковка для продуктов,RU2424121C2_20110720,1
биоразлагаемая упаковка для продуктов,RU2587442C1_20160620,1
биоразлагаемая упаковка для продуктов,RU2693545C1_20190703,1
биоразлагаемая упаковка для продуктов,RU2836415C1_20250314,1
биоразлагаемая упаковка для продуктов,RU2640243C2_20171227,0
интерактивные платформы для онлайн-обучения,RU2634734C2_20171103,1
интерактивные платформы для онлайн-обучения,RU2647345C1_20180315,1
интерактивные платформы для онлайн-обучения,RU2761714C1_20211213,1
интерактивные платформы для онлайн-обучения,RU2675477C1_20181219,1
интерактивные платформы для онлайн-обучения,RU2812407C1_20240130,1
интерактивные платформы для онлайн-обучения,RU2755781C1_20210921,0
интерактивные платформы для онлайн-обучения,RU2516476C2_20140520,1
интерактивные платформы для онлайн-обучения,RU2703325C1_20191016,0
интерактивные платформы для онлайн-обучения,RU2672171C1_20181112,0
интерактивные платформы для онлайн-обучения,WO2019083392A1_20190502,0
умные датчики для мониторинга урожая,RU2789189C2_20230131,1
умные датчики для мониторинга урожая,RU2720936C2_20200514,1
умные датчики для мониторинга урожая,RU2775442C1_20220630,0
портативные диагностические приборы,RU2515209C2_20140510,0
портативные диагностические приборы,RU2578023C2_20160320,0
портативные диагностические приборы,RU111915U1_20111227,1
портативные диагностические приборы,RU2411925C1_20110220,1
портативные диагностические приборы,RU148306U1_20141127,1
портативные диагностические приборы,RU2254115C2_20050620,0
портативные диагностические приборы,RU144808U1_20140827,1
портативные диагностические приборы,EA0000037472B1_20210331,1
портативные диагностические приборы,RU2011133945A_20130220,1
портативные диагностические приборы,RU2568516C1_20151120,1
роботы для доставки товаров,RU2562087C2_20150910,0
роботы для доставки товаров,RU2747128C1_20210428,0
роботы для доставки товаров,RU2797605C1_20230607,1
роботы для доставки товаров,RU2787547C1_20230110,1
роботы для доставки товаров,WO2019182477A1_20190926,0
роботы для доставки товаров,RU2017133977A_20171123,0
роботы для доставки товаров,EA0000021959B1_20151030,0
роботы для доставки товаров,RU2787095C1_20221228,1
роботы для доставки товаров,RU2785231C1_20221205,0
роботы для доставки товаров,RU2810933C2_20240109,1
шифрование данных для облачных хранилищ,RU2656836C2_20180606,0
шифрование данных для облачных хранилищ,RU2624574C1_20170704,1
шифрование данных для облачных хранилищ,RU2707398C1_20191126,1
шифрование данных для облачных хранилищ,WO2019231348A1_20191205,1
шифрование данных для облачных хранилищ,RU2635269C1_20171109,1
шифрование данных для облачных хранилищ,RU2778635C1_20220822,1
шифрование данных для облачных хранилищ,RU2697961C1_20190821,0
шифрование данных для облачных хранилищ,RU2750554C2_20210629,1
шифрование данных для облачных хранилищ,RU2573762C1_20160127,0
шифрование данных для облачных хранилищ,RU2015127104A_20170112,1
теплоизоляция нового поколения,RU2010105898A_20110827,1
теплоизоляция нового поколения,RU2615090C2_20170403,1
теплоизоляция нового поколения,RU2645190C1_20180216,1
теплоизоляция нового поколения,RU2287435C2_20061120,0
теплоизоляция нового поколения,RU2579576C2_20160410,1
теплоизоляция нового поколения,RU173041U1_20170808,0
теплоизоляция нового поколения,RU2358836C1_20090620,0
теплоизоляция нового поколения,RU2664716C1_20180822,0
теплоизоляция нового поколения,RU2298480C1_20070510,0
теплоизоляция нового поколения,RU2664824C1_20180822,1
переработка пластиковых отходов,RU227600U1_20240726,1
переработка пластиковых отходов,RU217262U1_20230324,1
переработка пластиковых отходов,RU2781648C2_20221017,1
переработка пластиковых отходов,EA0000007627B1_20061229,1
переработка пластиковых отходов,RU94031558A1_19960610,1
переработка пластиковых отходов,RU2100091C1_19971227,1
переработка пластиковых отходов,RU2644876C1_20180214,0
переработка пластиковых отходов,RU2563670C1_20150920,0
переработка пластиковых отходов,RU2820694C1_20240607,0
переработка пластиковых отходов,RU171981U1_20170623,0
экологичные системы доставки товаров,RU2835043C1_20250221,0
экологичные системы доставки товаров,RU2785231C1_20221205,0
экологичные системы доставки товаров,WO2022010381A1_20220113,0
экологичные системы доставки товаров,RU2743800C1_20210226,0
экологичные системы доставки товаров,RU2759847C1_20211118,0
экологичные системы доставки товаров,RU2701413C2_20190926,1
экологичные системы доставки товаров,RU2749585C1_20210615,0
экологичные системы доставки товаров,RU2458492C2_20120810,0
экологичные системы доставки товаров,RU2625402C2_20170713,1
экологичные системы доставки товаров,RU2598717C2_20160927,0